"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1970","black_1970","total_1910","black_1910","total_2010","black_2010","jail_2010","jail_black_2010"
12638,1338108,-1333538,"","","","","","","","","","","","","","",""
8497,-2198881,-86686,0.081,"","","","","","",2.113,0.014,1.009,0.004,0.006,"","",""
8658,-2122543,-112132,0.568,"","","","","","",14.794,0.100,7.062,0.027,0.039,"","",""
10632,-1639070,-468375,1.039,"","","","","",0.003,20.007,0.655,2.544,0.036,"","","",""
9115,-2097097,-188470,0.811,"","","","","","",21.134,0.143,10.089,0.039,0.056,"","",""
8654,-2224327,-112132,2.840,"","","","","","",73.969,0.501,35.310,0.137,0.197,"",0.001,""
6603,-1791745,218666,10.684,"","","","","","",77.068,0.564,103.418,1.019,"","","",""
6763,-1791745,193220,8.048,"","","","","","",77.068,0.564,103.418,1.019,"","","",""
6764,-1766299,193220,8.733,"","","","","","",77.068,0.564,103.418,1.019,"","","",""
6923,-1791745,167774,7.670,"","","","","","",77.068,0.564,103.418,1.019,"","","",""
6924,-1766299,167774,7.670,"","","","","","",77.068,0.564,103.418,1.019,"","","",""
7083,-1766299,142328,19.372,"","","","","",0.006,77.068,0.564,103.418,1.019,"","","",""
7242,-1766299,116882,101.142,"","","","","",0.050,77.068,0.564,103.418,1.019,"","","",""
8812,-2147989,-137578,3.489,"","","","","","",90.876,0.616,43.381,0.169,0.242,"",0.001,""
10381,-1715407,-417483,6.924,"","","","","",0.022,133.382,4.366,16.957,0.237,"","","",""
10508,-1664516,-442929,18.191,"","","","","",0.059,350.430,11.470,44.551,0.622,"","","",""
10382,-1689962,-417483,49.254,"","","","","",0.160,948.828,31.057,120.626,1.685,"","","",""
10509,-1639070,-442929,64.015,"","","","","",0.207,1233.174,40.365,156.775,2.190,"","","",""
8655,-2198881,-112132,49.658,"","","","","","",1293.401,8.767,617.425,2.404,3.441,"",0.010,""
8656,-2173435,-112132,49.739,"","","","","","",1295.514,8.781,618.434,2.408,3.447,"",0.010,""
8657,-2147989,-112132,51.443,"","","","","","",1339.896,9.082,639.620,2.490,3.565,"",0.011,""
