"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1970","black_1970","total_2010","black_2010","jail_2010"
12638,1338108,-1333538,"",NULL,NULL,NULL,NULL,"","","","","","",""
8497,-2198881,-86686,0.081,"","","","","","",2.113,0.014,0.006,"",""
8658,-2122543,-112132,0.568,"","","","","","",14.794,0.100,0.039,"",""
10632,-1639070,-468375,1.039,"","","","","",0.003,20.007,0.655,"","",""
9115,-2097097,-188470,0.811,"","","","","","",21.134,0.143,0.056,"",""
8654,-2224327,-112132,2.840,"","","","","","",73.969,0.501,0.197,"",0.001
6603,-1791745,218666,10.684,"","","","","","",77.068,0.564,"","",""
6763,-1791745,193220,8.048,"","","","","","",77.068,0.564,"","",""
6764,-1766299,193220,8.733,"","","","","","",77.068,0.564,"","",""
6923,-1791745,167774,7.670,"","","","","","",77.068,0.564,"","",""
6924,-1766299,167774,7.670,"","","","","","",77.068,0.564,"","",""
7083,-1766299,142328,19.372,"","","","","",0.006,77.068,0.564,"","",""
7242,-1766299,116882,101.142,"","","","","",0.050,77.068,0.564,"","",""
8812,-2147989,-137578,3.489,"","","","","","",90.876,0.616,0.242,"",0.001
10381,-1715407,-417483,6.924,"","","","","",0.022,133.382,4.366,"","",""
10508,-1664516,-442929,18.191,"","","","","",0.059,350.430,11.470,"","",""
10382,-1689962,-417483,49.254,"","","","","",0.160,948.828,31.057,"","",""
10509,-1639070,-442929,64.015,"","","","","",0.207,1233.174,40.365,"","",""
8655,-2198881,-112132,49.658,"","","","","","",1293.401,8.767,3.441,"",0.010
8656,-2173435,-112132,49.739,"","","","","","",1295.514,8.781,3.447,"",0.010
8657,-2147989,-112132,51.443,"","","","","","",1339.896,9.082,3.565,"",0.011
10383,-1664516,-417483,78.335,"","","","","",0.254,1509.031,49.394,"","",""
10384,-1639070,-417483,78.681,"","","","","",0.255,1515.700,49.612,"","",""
12610,1490783,-1231754,0.049,2.064,0.264,"","",0.010,0.002,78.032,3.118,0.086,0.021,0.001
12026,701959,-799173,1.810,67.857,26.712,"","",0.995,0.029,3.100,0.484,0.171,0.029,0.002
12103,676513,-824619,4.525,21.550,10.273,"","",2.487,0.072,7.751,1.209,0.429,0.073,0.004
766,574729,1211058,22.943,701.073,"",532.187,"","",0.154,16.092,0.142,"","",""
1003,523837,1160166,26.958,577.838,"",397.176,"","",0.181,18.908,0.167,"","",""
221,-977475,1363734,"",808.831,"",484.898,"","","",0.476,"",0.337,"",""
10991,-1511840,-544713,0.063,"","","","","","",0.236,0.001,0.489,0.002,0.001
12622,1516229,-1257200,1.378,"","","","",0.048,0.020,1889.838,75.524,2.073,0.518,0.018
6765,-1740853,193220,9.418,"","","","","","",76.898,0.560,0.956,0.018,0.018
12108,1210878,-824619,0.161,50.376,13.645,"","",0.045,"",0.766,0.130,0.976,0.023,0.007
12596,1490783,-1206308,1.714,3.031,0.387,"","",0.339,0.085,2753.067,110.021,3.015,0.754,0.026
12241,676513,-875511,3.175,"","","","",2.013,0.192,9.422,2.158,1.447,0.854,""
9411,-2071651,-239362,0.373,"","","","","",0.003,0.888,0.028,1.213,0.012,0.003
882,498391,1185612,9.783,2.847,"","","","",0.065,7.905,0.065,1.011,0.005,""
12178,676513,-850065,15.051,42.536,11.522,"","",8.472,0.346,31.990,6.195,2.285,0.846,0.013
12195,-646677,-875511,0.074,"","","","",0.001,"",4.397,0.024,1.789,0.012,0.001
12611,1516229,-1231754,3.021,"","","","",0.212,0.066,4301.515,171.902,4.703,1.176,0.040
128,-1308272,1414626,"","","","","","","",67.817,0.019,0.785,"",0.001
1002,472945,1160166,0.058,0.122,"","","","","",1.918,0.008,1.821,0.008,""
